gotOffer,experience,difficulty,length,role,details,questions/0,date,questions/1
No Offer,Negative Experience,Average Interview,2 days,Senior Software Engineer,"Phone interview followed by pair coding review. The coding review was conducted remotely and was unpleasant. It was very hard to hear the interviewer as they were on a speaker phone. Obviously someone else was in the room who wasn't speaking, which gave a very strange feeling. The interviewer was obviously very senior and accomplished, but they weren't good at communicating what they wanted from the session.",They asked for how a particular UI element would work in terms of the JavaScript used to put it together.  ,"Jul 31, 2016",
Accepted Offer,Positive Experience,Difficult Interview,3 weeks,"Security Operations, Senior Compliance Analyst","Dynamic in style. Preserving the culture is imperative to the continued success of the company, so they take a methodical approach in evaluating each candidate carefully. There was a phone screen with the hiring manager and two onsite visit with the team and other stakeholders. Cheap and free parking is available which was a first for me having had several interviews in the city.",Describe a time you were responsible for something and made a mistake.  ,"Jul 31, 2016",
Declined Offer,Positive Experience,Difficult Interview,2 weeks,Principal Software Engineer,I applied online and the recruiter reached out to me and was very responsive throughout the hiring process. Had tech screen first. Then went onsite. Team profile is very impressive and they have a mix of veterans and young talent.Got a very competitive offer but at the moment decided to pursue another opportunity.,NDA  ,"Aug 14, 2016",
No Offer,Negative Experience,Average Interview,2 weeks,Software Engineer,"Two initial screening calls then I invited on-site. The entire team was confused about the role I was applying for, they had serious confusion. The most senior person who interviewed me, asked me to write a function called ""Hipster."" This was obviously the first time I was ever trolled in an interview. The project lead / managing engineer told me about how much he loves drinking, that they are pressured…  to drink, and its a big part of their culture. Splunk came off very unprofessional, I could see how young engineers are attracted to the fancy office. This is not a workplace for serious engineers looking to advance their career. Thank god I didn't get an offer and accept.",What is a closure?  ,"Sep 1, 2016",
Accepted Offer,Positive Experience,Average Interview,3+ months,Splunk Administrative,"Good Part: Pretty standard process. Got a message from recruiter on LinkedIn, spoke with her, then 1hr phone interview was scheduled. Got response from recruiter within 2 days and onsite interview was scheduled. Onsite interview was for 3.5 hrs that involved 3 algorithmic and design interviews of 45 mins each, had a chat with DOE, senior HR, one other guy as well. All in all, it was a good experience…",describe you previous role  ,"Oct 20, 2016",
No Offer,Neutral Experience,Difficult Interview,5 days,Software Engineering Manager,"Onsite interview included in-depth technical discussions, It would have been better to be hold technical interviews prior to candidate arriving on-site for full day of staff interviews. Questions were appropriate for new hire right out of college.",What is the big 0 notation for parallel processing?  ,"Jun 26, 2016",
No Offer,Negative Experience,Easy Interview,2+ months,Software Engineer In Test,"Applied online with an internal employee referral. Heard back from a recruiter, but that's where the good ended.There were multiple significant unprofessional communication issues WRT to scheduling the tech screening. Then an engineer called 15 minutes late to tell me that they needed to reschedule because the other interviewing engineer wasn't in the office that day for what I was originally told was a 1:1 interview. This was at 3…  PM. No excuses, but not the end of the world.A different engineer calls back at the rescheduled day/time for me to find out that it has been passed off to him ""5 minutes ago"" and it is now back to a 1:1 interview. He conducts the technical screen and tells me 3 times during the 45 minutes that he is coding his own work while watching me on his other monitor as excuses for why he keeps making rookie mistakes in reading my code. Got an optimal solution done with time to spare. He even commented that I did a great job communicating my solution and building it.I waited 2 weeks, heard nothing back, so I followed up via email. Nothing. At 3 weeks, I followed up via their online portal. Nothing. At 4 weeks, I followed up via LinkedIn. Nothing. At 5 weeks, I followed up with my friend in the company, who tells me that HR told him that they never got feedback from the engineer. They only did this because he physically walked down to HR to ask about it after they didn't respond to his emails either, which went to an HR manager no less.At this point, I've decided not to continue with their terrible process regardless, but I finally got a response. After all that, they had the nerve to send me a form email from a no-reply address that there was a ""stronger candidate"" for the position. How can there be a stronger candidate if they never got feedback from the engineer?tl;dr - Horrible HR department, doesn't even respect their own employees. Lied to me and never responded over and over again. Seriously unprofessional. I knew from the beginning this was going bad but kept going because my friend in the company said it was great. Don't waste your time.","Combine two sets of sorted ranges into a unique set of non-overlapping ranges, returning an array of duplicates.  ","May 20, 2016",
No Offer,Neutral Experience,Average Interview,3 weeks,Data Engineer,First round was over the phone. It involved typical behavioral questions at first. The second half was technical questions about java. Including writing a program over the phone. Second round was a coding assignment,Reverse a string & find max of array in java  ,"May 2, 2016",
No Offer,Negative Experience,Average Interview,2+ months,Corporate Counsel,"Everything was very professional up to my onsite interview. Took a half day off work for the interview, hiring manager was very professional. Post-interview, nothing, not even an email from the HR person--even after a follow up email. While it appears Splunk is a great place this kind of thing is just a lack of common courtesy. I am a big boy and take rejection. This accounts for the thumbs…  down.","""It is really important that people fit in here."" Not sure it was a question or just a statement about me.  ","Sep 6, 2016",
No Offer,Negative Experience,Average Interview,a week,Sales Engineer,"First round was 1 and half hour long skype interview. They asked basic SQL questions, experience in sales field. Interviewer was nice, process was easy. Immediately he scheduled next 2 rounds which took place after 2 days.In the afternoon, 2nd round took place and interviewer asked about splunk products and some questions when was the time you had difficulty with your team member and how did you handle it etc…  questions.In evening, 3rd round - HR round, she simply asked when are you available to start work, CGPA etc.However, my 2nd round and 3rd round, both were scheduled as skype interview for 45 min. around but they simply called and spoke for hardly 15-20 min. each. So, it was confusing.I dint get any update for next 10 days. Then, I dropped an email, after one week, then my status on portal changed to not selected.",when was the time you had difficulty with your team member and how did you handle it?  ,"Oct 1, 2016",
No Offer,Neutral Experience,Average Interview,2+ months,Software Engineer,"Had a technical phone interview which was medium LeetCode type questions.This was followed up by an on-site set of six interviews and lunch which I felt went well outside of one where the interviewer had a thick accent and was difficult to communicate effectively with. Wide range of topics from OOP to algorithms to other concepts.I never received an email after my on-site.Overall, they're a bit sloppy but seems like…  a decent company to work for.",Study LeetCode questions and you're fine.  ,"Mar 30, 2016",
Declined Offer,Negative Experience,Easy Interview,-,Platform Engineer,"A manager calls me and then asks me about my experience with Python. I point out I have no experience with Python and my resume says so. In disbelief, he rants about why I've never used Python in depth before.Then he asks me a few easy Java questions that I can answer.When asked about the culture, he spends 5 minutes talking about some rockstar I don't really care about.He says…  the next step is a coding assessment and they work really hard there. He says I can even schedule it at 6am on a Sunday. After that, I got the sense that I didn't want to work for this guy. I declined to move forward in the process.","If you don't put public or private in front of a variable in Java, what is its accessibility?  ","Mar 18, 2016",
No Offer,Negative Experience,Average Interview,6 days,Software Engineer,"I had two phone interviews with one manager and one software engineer. For some reason, both interviews were like the one you get at the very beginning: you get a coding question you work on while they are watching, ""why do you want to work for Splunk"" etc. etc.For some reason they chose to do the whole process in one week. Meaning, they emailed me on Tuesday and by next…  Monday they already made their decision.Now, what made this experience negative is that the second interview gave me the feeling that the guy on the other end did not care. Each time I asked a question during coding, I had to repeat because I felt like he wasn't even looking (his microphone was muted too). In fact, the whole second interview only lasted 20 minutes because he seemed to be in a hurry.",Need to return a minimum value of a stack.  ,"Mar 28, 2016",
Accepted Offer,Positive Experience,Average Interview,2 weeks,QA,"Applied online and and heard back the next morning for a phone interview. The hiring manager told me about the company and asked why I was interested. Next day, I was scheduled for an onsite interview the following week. The interview consisted of talking about my resume, some test questions, technical questions and behavioral. Tech questions were fair. Interviewers were kind and helpful. They really wanted to make this experience…  a learning experience!",Fair technical questions including a brain teaser  ,"Apr 2, 2016",
No Offer,Positive Experience,Average Interview,2 weeks,Software Engineer In Test,"The interviewer was very friendly. And the question is not too difficult. A lot of experience had been gained from this interview. However, this interview does not scheduled as planned. It seems that this company does not have a very regular interview process.","Data structure, and some basic programming program.  ","Apr 4, 2016",
No Offer,Negative Experience,Average Interview,5 days,Sales Engineer (and Other Similar Titles),"Spoke with Hiring Managers (Interviewed for 3 different positions). Each one consisted of speaking with a hiring manager and reviewing deals and depth of knowledge. I was supposed to speak to more of the other SEs to continue interviewing, however manager viewed background in CRM/Big Data as not relevant. Again as seen below.. the Managers are not clear what they should be hiring for.",Most of the questions appeared to be for them to obtain information to ask future candidates. Only one manager had any idea why he was in his role and what type of candidate theyre looking for. It appears a lot of Empire building is going on with lots of wasted candidate time. I would be cautious about moving forward if the interview appears that theyre not sure what your role…  will be. Could be a short lived career.  ,"Mar 3, 2016",
No Offer,Neutral Experience,Average Interview,3+ months,Marketing Specialist,"I applied for the role in November and did not hear back for quite some time. I followed up via Jobvite in January and was surprised to receive a response. I spoke with the hiring manager and then another person on her broader team. Then was brought on-site to interview with 5 people in one day. I felt the interviews went well, but I did not hear back from Splunk…  whatsoever. I think out of respect for the candidate, it is nice to give them some closure, even if they did not get an offer. Not sending any sort of update, after a candidate takes time out of their day to come on-site, is disrespectful in my opinion.",Mostly behavioral questions and experience based questions:Tell me about something you are proud ofTell me about a difficult situationTell me about a tight deadline  ,"Mar 3, 2016",
No Offer,Positive Experience,Easy Interview,2 days,Director,"Very smooth process! After a phone call with the hiring manager, travel was quickly arranged by the coordinator (JR was great!) and online paperwork was processed. I traveled across the country the day before and was put up in a great hotel right next to the office. Upon arrival I was show the whole office, offered beverage and set up in a private office that had a printed schedule, copies…  of my resume for all the interviews and even a hand written welcome message on the white board. My first interview we went to the Starbuck in the complex and the next 4 were in the conference room. The next one was a lunch with 2 members of the team and the last back in the conference room with a final walk to my Uber ride by the hiring manager. Everyone was on time, engaged and invested in the process. All day long I was welcomed by everyone that I met. Spunk truly cares about the process and invests the time to do it right.","Questions ranged from experience, behavioral, vertical knowledge, past wins and losses, why Splunk?, why vertical?...  ","Jan 22, 2016",
No Offer,Neutral Experience,Difficult Interview,2 weeks,Devops Engineer,"Two phone interviews, then onsite interview in San Francisco, CA office. Recruiter team is good. Technical interviews can be difficult and on site interview will be the most important.Use common sense and Computer Science knowledge and skills to answer any questions.","Think of anything linux, they may ask you. Random questions from all kind of areas, networks, programming etc. And last but not least interview with Director, I must say this person seems to live in another planet. With no intro or basic greetings, started writing problem on white board and ask you write algorithm and write code. While you explain him what you are writing, he is answering emails and…  don't even care to look at your solution.  ","Jan 17, 2016",
Accepted Offer,Positive Experience,Average Interview,2 weeks,Senior Operations Engineer,"My application was followed up with a phone screening including some technical and experience questions. I came on-site for half a day and met four people with varying roles that I might interact with in my position. I spent 45 minutes with each of them, and the different interviews ranged from technical to cultural to conversational.","There were two whiteboard coding challenges, one more algorithmic and one more creative.  ","Jan 22, 2016",
No Offer,Positive Experience,Average Interview,3+ weeks,Senior Technical Writer,"Initial 45 minute phone interview with hiring manager went well, so they brought me in for an onsite interview. Five and a half hours talking with eight people from different groups (but all one product team). Great people, friendly, relaxed. And really nice, welcoming touches like a welcome message on the white board, a printed interview schedule, and a ""thanks for coming and good luck"" card on the table. I…  was impressed and after talking with everyone I was feeling really positive about the people and the company. They have a really great thing going there!","If we were to talk with your previous managers, what do you think they'd say about you?  ","Nov 21, 2015",
No Offer,Negative Experience,Easy Interview,2 weeks,Software Engineer,"After the first phone interview with JavaScript and CSS questions, I got the onsite interview request. I payed the ticket and flew to SF the day before interview, and around 12:00 pm when I was going to have a lunch somebody gave me a call telling me the interview tomorrow has been cancelled because they found other candidates. If they could have told me earlier maybe that morning, it was…  still too late to cancel my ticket. I didn't know people can cancel interview so late like this, without any formal notification.",Basic JavaScript questions  ,"Nov 3, 2015",
No Offer,Neutral Experience,Average Interview,3 weeks,Software Engineering,"The process was pretty quick. I applied through university. First was asked to do a very simple coding problem on Codility and then a 30-minute phone screen. Later, get scheduled for an onsite interview after 2 weeks. The onsite interview took 2 hours with 4 people. The first three interviews did involve technical questions. The technical questions are in average difficulty. The last interview is with the manager.",Signed the NDA. Not able to disclose information  ,"Nov 23, 2015",
No Offer,Negative Experience,Easy Interview,2 weeks,Software Data Engineer- Behavior Analytics,"The interview had a take home assignment, after you submit it, they schedule a phone interview which will be mostly on explaining the code you had submitted.After the phone interview was scheduled, the interviewer did not cal the first time. I had to let my recruiter know about this, who failed to respond immediately. After several emails, I got my phone interview scheduled. Its surprising that the round which was…  entirely about your submitted code, the interviewer did not even take a look at my code. This shows how poorly the interviewer prepared on his part.Not so good experience especially if they want to get talented individuals.","Problem :Design an org-chart server. Server (preferably multi-threaded) reads the sample file containing employee data.File format:Its semi-colon separated, the first field is the employee-id, 2nd field is name [can be space separated] & the 3rd field is his manager’s id.employee-id will be equal to reports-to-id for CEO.The file can have empty lines. If number of tokens is not equal to 3, it should ignore these lines but report a message/warning and…  continue. The id’s can be numbers or stringsSample file:###########1: CEO: 12: CTO: 13: VP Sales: 14: Tech Manager1: 25: Tech Manager2:  ","Dec 7, 2015",
Accepted Offer,Positive Experience,Difficult Interview,4+ weeks,Software Data Engineer,"The interview process was very well organized. I applied online and got a call from the recruiter a couple of weeks later. He told me if I was still interested, he would send out a coding test. I had 2 days to complete it. It was an interesting socket programming test. After about a week, he asked me to schedule my onsite interviews. They flew me to the Bay Area.…  I had 5 technical interviews (1 with the Director, 1 with the Architect and 3 with senior SEs) and lunch was provided. Each of them focused on 5 different areas. I was asked the typical coding problems in 4 rounds. The Director asked me a couple of open ended Design questions and focused about 10 minutes on my people skills. Other questions were mainly based on my Big Data skills and past experience.I heard back from the recruiter within 2 weeks (there was a break for Thanksgiving) and the offer was pretty generous.The overall experience was great.",,"Jan 21, 2016",
Accepted Offer,Positive Experience,Difficult Interview,2+ months,Professional Services Consultant,"The process consisted of several interviews with various personnel with foci ranging from technical to soft skills to job fit questions, due to scheduling it took quite a while to make it through the entire set. The interviewers were very knowledgeable and their inquiries were very thorough. Overall it was a very positive experience.",What is your biggest regret?  ,"Dec 18, 2015",
No Offer,Positive Experience,Easy Interview,a week,Software Engineer,"They sent an email linking to coding challenge (codility) - took 30 minutes but given one hour (they suggested that it should only take about 30 minutes), easy python stuff (they wanted the language to be in python) then a phone interview. I applied online from linkedin and heard back relatively quickly.",Reverse string elements in an array  ,"Oct 26, 2015",
Accepted Offer,Positive Experience,Average Interview,2 weeks,Inside Sales Representative,Pretty smooth. Be prepared to interview with at least 6 people. Reason behind this is to make sure you fit into the culture real well. Meeting with multiple different people will help determine if you are really interested in Splunk. Make sure you brush up on knowledge of what Splunk does.,Have you ever failed in your previous role and how did you handle that?  ,"Sep 24, 2015",
Accepted Offer,Neutral Experience,Average Interview,3 weeks,Engineer,"Very chaotic process, people internally don't seem to talk to each other. HR is broken. Several changes to schedule, recruiter says something, person calling to schedule interview says something else. Very confusing.",Reasonably easy technical questions but they didn&#039;t take time to find out what I wanted.  ,"Jul 30, 2015",
No Offer,Neutral Experience,Average Interview,2+ weeks,Senior Software Engineer,Lot of back and forth for phone interview. Had to reschedule due to release issue on Splunk Side. Phone interview was for 45 mins. Person who took my interview was very experienced. Asked questions specific to my skill set (Front End),AngularJS questions 1. What is Scope 2. What is diff between Service and Factory 3. What are commonly used directivesGeneral JS 1. What are various HTTP methods you are aware of 2. What is Closure 3. .call and .applyCSS 1. What CSS3 features do you use in your project 2. What does > and + sign in CSS selectorsLinux Question 1. I want to find out all files in which…  there is phone number (I have more then 500k files in folder / sub folder / ... 2. Have you ever installed software or package using command line  ,"Sep 9, 2015",
Accepted Offer,Positive Experience,Difficult Interview,a week,Devops,Understand core tools and show ability to automate in any language. Willingness to learn. Team is.dynamic.so be prepared to leave your confront zone. Process is broken down to a phone screen and a half day interview process with the team. And don't wear a suit!,How do you automate server builds  ,"Sep 12, 2015",
No Offer,Positive Experience,Average Interview,2 weeks,CRM Delivery Lead,"I was contacted by a recruiter on Linkedin. Responded to their message and had a HR screening & was then called in for an onsite interview. Was taken into a conference room & was interviewed by 5 panelists, each lasting 30-45 minutes. Interview focused on past experience & CRM business process understanding",To elaborate on my past management experience in CRM systems  ,"Jul 26, 2015",
Accepted Offer,Positive Experience,Difficult Interview,4+ weeks,RSM,"I truly respected Spunk's interview process. It was very thorough, as if you're being indoctrinated with their culture along the way. Makes you feel like they are very exclusive with whom they hire. I spoke with 5 different folks over a month period, leading up to one of the senior execs. Each interview was about an hour long, and was mostly about the company, where its headed, the culture, and…  the technology of course. In contrast to Splunk's interview process, I met with several other potential employers and the experience with those companies consisted of 1 or 2 meetings/discussions and then an offer. That methodology makes you feel like you're just another number and not a valued member of the team. Kudos to Splunk..",Describe to me how you overcame a unique challenge or obstacle by thinking outside of the box?  ,"Oct 3, 2015",
Accepted Offer,Positive Experience,Difficult Interview,2+ months,Sales Engineer,"Very intense and long process. Was essentially 3 rounds, 1st consisted of 3 phone interviews where they narrowed it down to 2 candidates, 2nd round was a straight forward presentation to a group of people remotely, and 3rd was interviewing with executives. All together, about 12 phone calls that were all different and designed to get to know each other really well.",How do you sell yourself in 30 seconds when nobody can actually see you?  ,"Oct 4, 2015",
Accepted Offer,Positive Experience,Average Interview,2+ weeks,Technical Training Instructor,"I applied Friday afternoon, had an email to schedule a screening interview by the end of Friday. Scheduled the screening interview (30 min) for Monday. On Monday, the screening interview went well, so I was scheduled for a interview with the team lead (1 hour) for the next day, Tuesday. From there, I was brought on site the following Thursday (4 interviews between 30min - 1 hr), and had an…  offer on Monday evening. From the application to offer letter, this whole process was just over 2 weeks. The HR person was very responsive through this whole process, and everyone was very welcoming and friendly.",Are you familiar with the command line interface?  ,"Jun 29, 2015",
Accepted Offer,Positive Experience,Difficult Interview,3 weeks,Regional Sales Manager,"Short sweet and too the point. Not an easy interview but for this type of job it shouldn't be. Management team was professional, courteous, prompt and to the point. Culture is a huge part of the interview process. Do your research and understand that going in, if you don't think you would like the culture then don't bother.","Typical questions, &amp;#034;tell me about time when....&amp;#034; that sort of thing but a lot of &amp;#034;cross examining&amp;#034; questions to make sure you are on point.  ","Jul 24, 2015",
Accepted Offer,Negative Experience,Average Interview,2 weeks,Frontend Engineer,"Interview was 2 phone rounds and a final 5 hour on-site interview. Splunk didnt waste any time and it was all in around 2 weeks organized well. But the worst part was their communication after. I was told that I have the offer from HR after which there was no communication for one week. After persistent calling, the HR said the position was put on hold. I dont understand why…  Splunk should waste so much of my time and their time over 2-3 weeks and give me the offer and then say no position. This is not very professional on their side on how they treat interested applicants.",Coding questions thoroughly  ,"May 1, 2015",
Accepted Offer,Positive Experience,Average Interview,3 weeks,Software Engineer In Test,"The interview process was really cool, and a great learning experience. Many, crisp interviews, spread over a period of three weeks, but I did not feel any pressure. Loved the attitude of the interviewers, they created a friendly and non-formal environment through the interview day; gave a lot of insight about the company, the team, and the position.",Data structures  ,"Apr 26, 2015",
Accepted Offer,Neutral Experience,Average Interview,2 weeks,Software Engineer,Interview was good. Infact interviewers were very good. They put you in comfortable position in the beginning by asking you to tell about yourself. Explain some projects and by asking things on resume. Later they shared a screen and asked me to code for string reverse.,HTTP methods  ,"Mar 15, 2015",About the product  
No Offer,Negative Experience,Average Interview,3 weeks,Research,"The onsite interview process was fantastic. I felt very welcomed, water and snacks were waiting for me, nice welcome notes on the whiteboard, and a Thank You for coming in card on the table. The people were really nice, while asking good, challenging questions. Had a nice chat/interview over lunch at a restaurant around the corner.And then... I got on the phone with the HR rep 2 days later, he…  told me the team loved me, but I had one more interview that was just completing a ""check mark"" and after that I would receive an offer in 1-3 days. Four days later, I contact him to see how things are going at their end and I'm told they're interviewing an internal referral, but he thought ""nothing would come of it"". In the meantime I got an actual offer from another company, so I contacted the Splunk HR guy, told him I wanted to make a decision in the next 3 days, and then was told they were now looking at 2 candidates. I hope it's not common practice for them to say they're going to get you an offer and then not follow through. So uncool. A ""we're no longer interested"" statement would have been more appropriate. After that experience, it was very satisfying to send the note that I was no longer interested in the position because I accepted an offer at another company. And it's a much better opportunity for me in many ways. But up until they started jerking me around I totally could have seen myself working for them and enjoying it.",Asked some stats questions  ,"Mar 31, 2015",
No Offer,Negative Experience,Average Interview,1+ week,Product Security Engineer,"Interview was good and working all well. Downside was that after telling me I'd get an offer they changed their mind last minute and changed it again. Also had a recruiter completely dropping the ball, so I took another offer.",Never got asked by a Director about my salary demands before. So watch out that not only HR will talk with you about that.  ,"Jun 2, 2015",
No Offer,Negative Experience,Average Interview,a week,Software Engineer,"The interview was for a Intern position. The questions asked in the interview were totally different from what was mentioned in the job description. Also there was a mis-communication between the recruiter and the interviewer regarding the schedule of the interview. The interview which was supposed to be cancelled by the HR was not communicated to the interviewer and he called at that time anyways , when I was in…  the middle of my class.",REST API and Javascript  ,"Feb 18, 2015",
No Offer,Positive Experience,Average Interview,3 weeks,Intern - Hourly,"Started process via career fair. Interview process for me was a brief set of screening questions on Python and Unix utilities (at the career fair), followed by a short non-technical phone interview, an online coding challenge, followed by the onsite.Onsite interview: under NDA. Had multiple rounds, and questions were fair, of varying difficulty. Touched on algorithms, complexity, testing, implementation.","(Online challenge): given a string of multiple words each separated by a space, return a string with each individual word reversed  ","Feb 21, 2015",
Declined Offer,Neutral Experience,Average Interview,a week,Software Engineer In Test,"I did the application from a School Career Fair. They reached me soon which was surprised me. They firstly made a phone call for scheduling the next phone call. It came soon just in the next week.However, this company or maybe the hiring manager was so messed up. After I emailed him about my time availability. He firstly said okay then found that time is not good for him. Then,…  we made another yet has been cancelled again because of him. Overall, this kind of update happened several times.The phone call is also weird. At least, as far as I know, this is the only company that use almost 30 mins for gauging. Nothing else happened yet.",Any question you have about the company or for me?  ,"Feb 26, 2015",
Accepted Offer,Positive Experience,Difficult Interview,a week,Product Management,"I was employee-referred for a position. My contact set a date for when the hiring manager would call for a phone interview. The hiring manager after sensing a possible fit provided me with the expectations and challenges of the job which is critical context for addressing the panel interviews later.I was quickly scheduled for an interview within days. The recruiting lead was in touch with me, provided me with names…  of people I'd meet. My day started at 10am in the SF office. Met with 7 people and was done by 4 pm. The interviews ran per schedule.The panelist were smart people who discussed a variety of topics. I found it easy to establish rapport and engage in a conversation.","One question that could have gone awry had to do with understanding the interviewers frame of reference versus mine. Once that was resolved, the question being asked was very relevant.  ","Jan 12, 2015",
Accepted Offer,Positive Experience,Average Interview,4+ weeks,Video Production Associate,"The first interview was via email questions, then followed up by a second with a call from the same person (recruiter). Third round was talking to the person I'd be working with directly, and fourth was being interviewed in the office by the team I'd be working with. Finally I spoke with another manager in London over the phone who does approvals for the team. Multiple interviews in this fashion…  are not uncommon in Silicon Valley so it wasn't really a surprise.Overall I liked that they were interested in why I chose Splunk and why I was interested in this field personally, over emphasizing the checklist of the many requirements this job entailed. They also complimented my work more than other interviewers have in the past, which I really appreciated.",Why Splunk?  ,"Feb 12, 2015",It looks like you have mostly been doing freelance work why are you interested in this particular role?  
No Offer,Positive Experience,Easy Interview,3+ months,Software,"First, there will be one or two recruiters to contact to you and set up phone interview date. Then, one of the engineer from Splunk will call you and ask about your resume. Then it follows up several coding or C++ concept questions. After that, you will have chance to ask interviewer some questions. My personal experience is about half a hour. But normally, it will last 45 mins.",In C++ what is the difference between process and thread. What is difference between malloc and free.  ,"Jan 30, 2015",
